track_id,track_name,artist_name,album_name,popularity
17opN752ZQpNuoptelsNQ1,Pehli Nazar Mein,Atif Aslam,Race (Original Motion Picture Soundtrack),70
52itZ0w0CydihB2JCZEIft,Pee Loon,Pritam,Once Upon A Time In Mumbaai,77
6GQK4G5o60E8YA18DGpAzv,Hale Dil,Harshit Saxena,Murder 2,76
4gqHEia13bp5EFWGitiKWx,Chor Bazaari,Pritam,Love Aaj Kal (Original Motion Picture Soundtrack),69
7JFIDJAi9RoCn0JYavNLRG,Shut Up & Bounce,Vishal-Shekhar,Dostana (Original Motion Picture Soundtrack),56
46elU7IBKWf55D5sjHGqO7,Dil Dhadakne Do,Joi Barua,Zindagi Na Milegi Dobara,62
3vqJY3pVELLIxqXXyI08yr,Roobaroo,A.R. Rahman,Rang De Basanti (Original Motion Picture Soundtrack),63
4MnDLNhqL6HuSzFO4b4rvJ,Aaj Kal Zindagi,Shankar-Ehsaan-Loy,Wake Up Sid (Original Motion Picture Soundtrack),53
4NtaQSiRgkQ2Af8GSW0B0t,Billo Rani,Pritam,Dhan Dhana Dhan Goal,65
2cbaCL38j8eUXBQjvLawET,"Bhool Bhulaiyaa 2 Title Track (From ""Bhool Bhulaiyaa 2"")",Pritam,"Bhool Bhulaiyaa 2 Title Track (From ""Bhool Bhulaiyaa 2"")",64
3V3qab2wyi5LjGLjvbV4fD,Mast Kalandar,Saleem Shahzada,Heyy Babyy,57
31phvnfUfwzi0nf3dO814j,Vele,Vishal-Shekhar,Student of the Year (Original Motion Picture Soundtrack),68
6qGCJLF0V7SuHTOOGUcDsv,Shubhaarambh,Amit Trivedi,Kai Po Che (Original Motion Picture Soundtrack),60
2N9938r4qmE9yvxLRS7mIq,Fugly,Yo Yo Honey Singh,Fugly,53
7gw6rSstVq9CmuQAaZhWm8,Asalaam-e-Ishqum,Sohail Sen,Gunday,60
4nt1pLbjBHtpHFarYXRHHN,Chiggy Wiggy,Kylie Minogue,Blue,56
4CuBg0h6kD85MPN8Ntq6Zr,Latoo,Shreya Ghoshal,Ghajini,55
